category_id_nk_from;category_name_from;category_id_nk_to;category_name_to
2101;Carros;2100;Peças e acessórios
2102;Caminhões, ônibus e vans;2100;Peças e acessórios
2103;Motos;2100;Peças e acessórios
2104;Barcos, lanchas e aviões;2100;Peças e acessórios
